sn,responses,label
0,Please stop drying lakes and using it for buildings. Stop cutting trees.. it pains whenever i see anyone cutting any trees. The Bengaluru i lived 10 years ago was a paradise.. its been ruined coz of human greed. Please ban cutting any trees in and around bangalore,-1
1,"Make plastic free Bangalore that will biggest contribution towards environment, Where free land is there government can lease out NGO or interested people to plant trees with financial aids so that it will create environment and creates job opportunities",0
2,All plants and trees needs to be tracked. Plan alternative options instead of cutting trees in City. The lung space is reducing heavily.,-1
3,Chopping of trees should be stopped unless it's a matter of concern to life.,-1
4,"Every new building should leave space to plant new trees. Care must be taken to see that they grow well.
",0
5,"Everything is fine but y is dat e1 after planning, u dig roads which r fine n make no roads for d people n coz of digging thrs so much of pollution n traffic n so much of health hazards for people staying thr n ppl commuting by dat road daily. Pls at least now plan properly don't just say Master Plan for name sake it shld ve sm serious good plan for d city.",-1
6,"Water harvesting needs to be forced on people , just encouraging it wont help. Its ok to force if it is for common good.",0
7,"https://www.linkedin.com/pulse/5-things-saved-city-r-k-shenoy/

I had written this blog which highlights the top ideas, good to know many of these are being considered !",1
8,Please have more dustbins,-1
9,Promote Terrace gardening along with all the above.. Will bring in additional 10% pollution free environment..,0
10,This plan should be implemented now for next 15 years there will be a lot of population in Bengaluru. Please protect the nature in Bengaluru and do it now,1
11,Vertical gardening and envirnmt structures must be mandated for tech parks..as the glass panes heats up the city..the encroached lakes must be tackled sternly..firstly BDA land allotment must be corruption free and must not allot lands which have issues,-1
12,"There should be more specifics of how are they going to achieve this. There should be some deadlines and some Targets associated with each item. 2031 will be too late for such measures as we have habit of working towards the end of Goal. Some Immediate steps should be taken to get Environment, Back on Track. Relive all the lakes, make all the lakes Non-Toxic, plant more trees around the Lake. Create Green Zones across the Cities, where there should be only plants and no other activities should happen. Work on providing 24*7 Electricity to all the offices and apartments, so that usage of Gensets can be minimized. ",-1
13,"Not only plant but also monitor the growth of trees. Plant more Banyan for larger distribution of trees, and higher o2 content. Also, we have a huge termite problem so we are in dire need of tree doctors at every ward. Lastly, give more breathing space for trees and not choke it with cement. ",-1
14,"Complete disregard for the environment. 
There should be more green spaces in the city.",-1
15,The plan sounds very vague at the moment.,-1
16,"Sound like unrealistic aims for our governments. Battery operated cars have yet to reach that level of sophistication, though it is possible by 2031. Getting people to move on from petrol and diesel will be harder. ",-1
17,"More Gardens, Parks need to be developed if possible every area must have a big garden so that we save environment also this wil control pollution a bit.",0
18,Wat about no. of vehicles on road? Wat about illegal constructions? Concrete city.,-1
19,Move the polluting industries from areas such as peenya to further places designated for them away from populated areas,-1
20,"All roads should be sand free dry. Sand is causing air pollution. Manholes should be designed in a way it is in level with the road, no elevation or depression of the man holes. Too many two wheeler accidents and death is caused by un even level of the man holes on the roads. ",-1
21,"All pollutants from Industrial waste need comphrensive outlook. Electric Autos and all vehicles mandatory in next 5 years. Household waste management, BBMP need to follow NGT guideliness. Rules to be created by govt and implementation to be done by right monitoring authorities.",0
22,"The park and road should be monitored by the Area Authority on monthly basis.They should install proper lighting and maintenance of the platform as well.Tress should be planted more and government should encourage citizen to use cycle more.They should even plan events for cycling and should have Cycle stand and Cycles on rent installed so that the pollution level can come down as well as the parking space issue can be solved.This should start with our Elite Government officials first,so that more and more people will be encouraged by this gesture.",0
23,There are places still in core city of Bangalore which needs immediate action on environment management and caring,-1
24,"Every single citizen should be educated about the Global warming. Use of plastic bags should be banned completely, burning plastics & tires should also be banned. Old vehicles which produces lot of C02 should be scraped. Bycycle should be distributed at all metro stations to reduce the usage of other transports. All the polluting factories should be monitored for any chemical discharge into the lakes or rivers. ",-1
25,"Bangalore is name for trees/plants, parks and beautiful lakes inside city. BBMP is cutting down all plants, covering all lakes in the name of development is not acceptable. We do not need such development where there is no good environment. Do not cut down trees and do development with the available resources only.",-1
26,"Need to make strict rules for not chopping the trees.  BBMP keeps chopping /trimming the trees to keep the electric cables safe.  Instead they can do underground cabling.  Also,  instead of chopping huge trees,  they can use new technologies and relocate those trees.  
Strictly plant 2trees each house.  (breadth and length should be mentioned in guidelines). ",-1
27,Ban of Diesel Vehicles before the city becomes like the National Capital of India,0
28,Becoming worst than ever. Not good for Bangalore,-1
29,The Green Belt is reducing by cutting trees and uncountable constructions. There is no plan to road but big builders make the apartment for possession.,-1
30,How about planting trees with fruits like mango n al...this would b great if v are able to get food in the road,0
31,"The maximum impact to nature and environmental factors is due to the unhandled waste from the posters, ads, paper flyers all littered all around the city. We need a law against littering in the public spaces. We build beautiful bridges and the pillars are full of movie posters and political ads. The trees are also not spared. People put up pins and nails on trees to put there posters of PG ads and other things. Can we please have our city back, beautiful and green and clean without all these litter every where we see.?",-1
32,"Mainly have to stop cutting down the trees, if necessary try to replant those trees to another location where necessary. Contact me for planting tree sampling where necessary for joining hands.",0
33,Banglore should go for strong trees than the exisiting thin and strongless trees breaks down when heavy rain fall.,0
34,"Cutting of trees for absolutely unnecessary reasons makes me furious. The trees are cut for road widening purposes where after couple of metres, the road merges back into a 2 lane road. What is the point? And the size of the trees being cut are enormous (easily 30-50 years old)  and are done in the night so that it is not noticed by any one who is  against it. The amount of shade and protection that these trees give is so much that the road makes you feel like home itself. But so many trees are cut, no one feels to come out during the day time. There is no point in chanting sustainability, saving of water, pollution free, or whatever it is if trees are going to be cut down like this. And after all the cutting, I have never seen any replacement efforts and it hurts me as I cannot do anything alone. Are human beings so selfish that we only care about our present comforts? Are we so stupid that we can't see what this is doing to our earth? I don't mind contributing to make out planet a much greener place. Everyone is so selfish and greedy and lazy that no one wants to do work and only wants money. ",-1
35,"Even though a lot of effort is being done to improve the environment , we still have a filthy  environment. This is due to the indifference and ignorance of the public. We have to use a lot of publicity about achieving a clean and healthy place to live in. TV, Radio , Movie theaters,  all the Government offices, Hospitals, Schools and colleges can be used for conveying strong messages about the donts -like, littering, defecating, urinating, SPITTING,  in public places,  and  heavy fines have to be charged when rules are violated. 
Even though  thin  plastic bags are banned shops and vendors are still using them. 
Emission tests are not carried out by many vehicles .  How do they escape the scrutiny of the police!
There are many BBMP buses emitting black smoke . There should be periodical checks . 
Educationg the public is the first step . ",-1
36,These are ideals cannot see any movement on the ground ideally we should do these things but lakes are still getting encroached heavily polluting industries are still pumping effluents to lakes and other water bodies.,-1
37,Need to walk the talk,0
38,The sooner you start the better it is because planting tree you need minimum of 5years for the tree to grow,0
39,The master plan look promising. But I hope there would be action. IT Projects getting approved in Brookfield area without concerned about traffic. Noise and pollution on the rise. Bad roads are one of the main reason for pollution. Govt can try odd/even formula at least once a week. Private vehicles(unpooled) are allowed at 10AM. Buses should connect IT park.,0
40,Lands of lakes should be reclaimed in full force. Also the reclaimed land has to be turned back into lakes and the water catchment area of the lakes have to be taken over and turned green. This has to happen by force else water will be a major crisis for Bangalore in another 2 years. If we think about using force now we will be left with a city with no water,-1
41,Need to keep the city Clean,0
42,"In the masterplan these ideas looks good unless executed to the true core. We are seeing lakes dying, temperature rising due to warming effects caused by less greenery in our surroundings, Vehicles causing noise and air pollution leading to poor quality of breathable air around us. Not only municipality has to plant more trees it has to be an individual's responsibility to contribute towards the society.",1
43,"Please educate house members, especially house wives about waste segregation and not to tie  garbage in plastic cover and throw. Please ban plastic, before banning please provide ideas and alternatives for groceries packing . All the vendors in Prashanth Nagar areas have plastic.. worst !!",-1
44,Please avoid using some expensive flower plant or ornamental plants. Try to use convenientional trees which which we used to plant in old Bangalore areas. Vertical gardening is also a good idea,-1
45,Please install many public garbage bins.,0
46,there are ample trees being planted nor are there any proper maintenance of parks and lakes. some immense drives should be held to plant more trees along with tech parks every month(suggestion),1
47,highly polluted city,-1
48,"Instead of planting trees, trees are being cut. The proud thing of Bengaluru was trees and alot of trees which is being cut, Bengaluru is losing its pride,its temperature is changed only because of this, IT sectors other people are coming to B'lore and there's no much space left so trees are being cut but when you chop one tree its like taking alot of lives, I request you to please make B'lore as before. Please..",-1
49,Dissatisfied,-1
50,"The problem with a democratic national is that the development plans for the next few decades look brilliant on paper. At the top level of hierarchy, the problems are jot down and addressed with a practical solution.  But it's equally hopeless when it comes to the execution as we move down in the hierarchy. 
There needs to be a strict evaluation of the ongoing plans to curb the wrongdoings and also promote the need for development among the citizens so that the general public can enforce the same by being a part of it voluntarily. 
Gone are the days where we sit idle and blame the government. If we need to see the changes around us, we need to change as well.
Just wishing the government promotes active participation of citizens for the development of cities. ",-1
51,"1. The newly planted tree saplings will take minimum 10 years to become a tree, so the aim should be to preserve the existing flora.
2. While planting new trees, the trees should be sturdy, in the sense, it should not succumb for mild wind guesses after 10 years. 
3. At least 3:1 ratio of plantation should be done for each and every tree that is brought down in the name of development.
4. BDA should restrain from cutting trees just because someone built a shopping complex with the entrance placed in front of the tree. The shopping complex or any building should have been planned to avoid tree felling.
5. Everyone in the city-limit should take prior permission from the environment board before cutting any tree that is there in private or in public areas. The reason and plan of the building should be reviewed and maximum number of trees should be saved. Moreover, for every tree they cut, they should plant at least 2 tree saplings and show then as grown trees at the time of completing the construction project.
To conclude: Aim should be to save the existing trees, rather than planting and waiting for another 10-15 years for them to become trees again.
NOTE: BDA can consider relocation of trees with the latest technology and machines available and followed in few countries.
",-1
52,Great initiative.I hope this gets implemented irrespective of which government rules.Let me know if i could be helpful.,1
53,"Please check into the the increasing noise pollution specially in the housing areas. Many small garbage collection/ welding shops have opened up in Radha Reddy Layout, Doddakanelli, Off Sarjapur Road. One of them is next to Mana Jardin. ",-1
54,I really wish the promises made by the municipality will be executed. Bengaluru misses it's greenery!,1
